"File Path: S:\Durabler\Certificates\Testdataexport\DAF431 C1-1 08-21-25 15 28 22 PM\Data Acquisition 1 - (Timed).csv   "
"Test: ASTM E 399 KIC 7"
"Test Run: DAF431 C1-1"
"Date: 8/12/2025 10:06:42 AM"
""
""
"Axial COD ","Axial Displacement ","Axial Force ","Time "
"mm","mm","kN","sec"
"-0.00175309185124206","0.505691685248166","0.00671118211746216","9988.18359375"
"-0.00155997281581222","0.50686119357124","0.0691394500732422","9988.2333984375"
"-0.0017452240399507","0.507125689182431","0.149050186157227","9988.283203125"
"-0.00140905376611045","0.507256714627147","0.225961776733398","9988.333984375"
"-0.00136613846279943","0.50838669994846","0.305206787109375","9988.3837890625"
"-0.00136327741984132","0.509080593474209","0.374014465332031","9988.43359375"
"-0.00101423268006329","0.508358178194612","0.450203918457031","9988.4833984375"
"-0.00110936161945574","0.510026817210019","0.517859191894531","9988.533203125"
"-0.000845432282403635","0.51159510621801","0.598448608398437","9988.5830078125"
"-0.000880479831266712","0.51207491196692","0.676218200683594","9988.6328125"
"-0.000953435915107548","0.512803962919861","0.760935180664063","9988.68359375"
"-0.000779628749114636","0.513386214151978","0.827266296386719","9988.7333984375"
"-0.000625848770141602","0.514541170559824","0.909345153808594","9988.783203125"
"-0.000844001760924584","0.513727427460253","0.971834899902344","9988.8330078125"
"-0.000565052005185862","0.514889194164425","1.05510607910156","9988.8828125"
"-0.000682353970660188","0.516332278493792","1.12445288085938","9988.93359375"
"-0.000364065158464655","0.51663035992533","1.200435546875","9988.9833984375"
"-0.000251770018167008","0.517004169523716","1.27439868164062","9989.033203125"
"-9.29832424390042E-05","0.51733769942075","1.36246557617188","9989.0830078125"
"9.72747784544481E-05","0.519288121722639","1.41712646484375","9989.1328125"
"2.8610228852699E-05","0.519209424965084","1.49383435058594","9989.1826171875"
"0.000142335892405754","0.520539993885905","1.55833581542969","9989.232421875"
"0.000228881830821592","0.52070349920541","1.61862072753906","9989.283203125"
"0.000101566314469892","0.521562760695815","1.7409150390625","9989.3330078125"
"0.000424146662680869","0.522999907843769","1.81655029296875","9989.3828125"
"0.000489950195969868","0.522932386957109","1.8943095703125","9989.4326171875"
"0.000544309614269878","0.523275695741177","1.97900744628906","9989.482421875"
"0.000610828408298403","0.523835304193199","2.03545617675781","9989.533203125"
"0.000607967365340301","0.525258248671889","2.10413720703125","9989.5830078125"
"0.000781774531333213","0.525948125869036","2.17475073242188","9989.6328125"
"0.001050710693562","0.525611685588956","2.25366235351563","9989.6826171875"
"0.000865459469423513","0.526605232153088","2.32860693359375","9989.732421875"
"0.00117516515274474","0.527585449162871","2.38697143554687","9989.7822265625"
"0.000916242584025895","0.528777716681361","2.47424243164062","9989.83203125"
"0.00111079214093479","0.528204953297973","2.55798681640625","9989.8828125"
"0.00118231776013999","0.53015595767647","2.61859936523437","9989.9326171875"
"0.00144481657571305","0.529799843207002","2.7121435546875","9989.982421875"
"0.00148844719660701","0.531292287632823","2.78794018554688","9990.0322265625"
"0.00162577623541438","0.532075355295092","2.85808569335938","9990.08203125"
"0.00142407418479706","0.531744444742799","2.93441479492187","9990.1328125"
"0.00193619735000539","0.533475365955383","2.997841796875","9990.1826171875"
"0.00186109548394597","0.533557846210897","3.06990942382813","9990.232421875"
"0.00208711617233348","0.534617807716131","3.14241455078125","9990.2822265625"
"0.00219726553041255","0.535400584340096","3.22021166992188","9990.33203125"
"0.00209927566174883","0.536161533091217","3.2895556640625","9990.3818359375"
"0.00227451323553396","0.537253159563988","3.34883154296875","9990.431640625"
"0.00238466259361303","0.538032909389585","3.43321264648438","9990.482421875"
"0.00226521501645038","0.538406078703701","3.50038696289063","9990.5322265625"
"0.00286817544292717","0.538524764124304","3.58258178710938","9990.58203125"
"0.00237894050769683","0.540952431038022","3.64975659179688","9990.6318359375"
"0.00278306015388807","0.540818262379616","3.72461767578125","9990.681640625"
"0.00264644631897681","0.541737768799067","3.79968139648438","9990.732421875"
"0.00292825689029996","0.543261005077511","3.87330395507812","9990.7822265625"
"0.00321006768899679","0.543547561392188","3.92843432617188","9990.83203125"
"0.00323081007991277","0.543734640814364","4.01836303710938","9990.8818359375"
"0.00320577623824647","0.546201888937503","4.07909106445313","9990.931640625"
"0.00354695316673315","0.547362491488457","4.1566865234375","9990.9814453125"
"0.00317788135362207","0.547703471966088","4.201958984375","9991.03125"
"0.00369000440514355","0.548659358173609","4.26287939453125","9991.08203125"
"0.00378584854843211","0.551885168533772","4.35240185546875","9991.1318359375"
"0.00387668615076109","0.553856487385929","4.4233798828125","9991.181640625"
"0.00418138506574905","0.553906720597297","4.48894580078125","9991.2314453125"
"0.00434088724432513","0.557078747078776","4.5728662109375","9991.28125"
"0.00460124010714935","0.558358151465654","4.65220654296875","9991.33203125"
"0.00498890858580125","0.560258806217462","4.72531103515625","9991.3818359375"
"0.00481581673739129","0.561939261388034","4.79948779296875","9991.431640625"
"0.00551033008377999","0.565761642064899","4.87331494140625","9991.4814453125"
"0.00541090957995038","0.566014205105603","4.96026318359375","9991.53125"
"0.00564837455385714","0.568782445043325","5.03200146484375","9991.5810546875"
"0.0058972836995963","0.571867043618113","5.10881298828125","9991.630859375"
"0.00599956501901033","0.573853845708072","5.19205810546875","9991.681640625"
"0.00624418271399918","0.577563827391714","5.2690322265625","9991.7314453125"
"0.00660395608065301","0.577281112782657","5.356810546875","9991.78125"
"0.00650882702757372","0.579847488552332","5.436939453125","9991.8310546875"
"0.00701594353813562","0.583661312703043","5.50975537109375","9991.880859375"
