"File Path: S:\Durabler\Certificates\Testdataexport\DAF431 C1-1 08-21-25 15 28 22 PM\Crack Size Check Cycle - Data Acquisition 1 - (Timed).csv   "
"Test: ASTM E 399 KIC 7"
"Test Run: DAF431 C1-1"
"Date: 8/12/2025 10:06:42 AM"
""
""
"CycleCount","Axial COD ","Axial Force ","Time ","Axial Displacement ","Axial Integer Count ","Running Time ","Rollover Running Time "
"CycleCount","mm","kN","sec","mm","cycles","sec","sec"
"1","-16.0979367792606","0.23108625793457","81.9228515625","0.465938035631552","0","2.060546875","2.060546875"
"1","-16.0971917212009","1.00431762695313","81.9479141235352","0.475647393614054","0","2.08561205863953","2.08561205863953"
"1","-16.0967018455267","1.81187512207031","81.9729843139648","0.483539362903684","0","2.11067700386047","2.11067700386047"
"1","-16.0962622612715","2.58912036132813","81.998046875","0.4930145223625","0","2.1357421875","2.1357421875"
"1","-16.095582395792","3.25191723632813","82.0231094360352","0.504033640027046","0","2.16080737113953","2.16080737113953"
"1","-16.0945300012827","3.75366284179688","82.0481796264648","0.520523695740849","0","2.18587231636047","2.18587231636047"
"1","-16.093110665679","4.443451171875","82.0732421875","0.54218852892518","0","2.2109375","2.2109375"
"1","-16.0912852734327","5.19242431640625","82.0983047485352","0.564342888537794","0","2.23600268363953","2.23600268363953"
"1","-16.0899087786674","5.98837744140625","82.1233749389648","0.589549890719354","0","2.26106762886047","2.26106762886047"
"1","-16.0884875804186","6.8141064453125","82.1484375","0.613767595496029","0","2.2861328125","2.2861328125"
"1","-16.0858277231455","7.6637880859375","82.1735000610352","0.639477337244898","0","2.31119799613953","2.31119799613953"
"1","-16.0844027996063","8.550365234375","82.1985702514648","0.664510997012258","0","2.33626294136047","2.33626294136047"
"1","-16.0823706537485","9.464228515625","82.2236328125","0.688065134454519","0","2.361328125","2.361328125"
"1","-16.0818174481392","10.32158984375","82.2486953735352","0.708693056367338","0","2.38639330863953","2.38639330863953"
"1","-16.0775110125542","11.195482421875","82.2737655639648","0.729488208889961","0","2.41145825386047","2.41145825386047"
"1","-16.0774774849415","12.026857421875","82.298828125","0.749295810237527","0","2.4365234375","2.4365234375"
"1","-16.0763785243034","12.8829697265625","82.3238906860352","0.76837744563818","0","2.46158862113953","2.46158862113953"
"1","-16.0725563764572","13.6972392578125","82.3489608764648","0.786776829045266","0","2.48665356636047","2.48665356636047"
"1","-16.071854159236","14.5461669921875","82.3740234375","0.806035415735096","0","2.51171875","2.51171875"
"1","-16.0699915140867","15.396884765625","82.3990859985352","0.823628797661513","0","2.53678393363953","2.53678393363953"
"1","-16.0686019808054","16.2372783203125","82.4241561889648","0.841148837935179","0","2.56184887886047","2.56184887886047"
"1","-16.0662513226271","17.0617578125","82.44921875","0.857756531331688","0","2.5869140625","2.5869140625"
"1","-16.0640999674797","17.920333984375","82.4742813110352","0.875785772223026","0","2.61197924613953","2.61197924613953"
"1","-16.0629227757454","18.759857421875","82.4993515014648","0.892550044227391","0","2.63704419136047","2.63704419136047"
"1","-16.0612873733044","19.61045703125","82.5244140625","0.90889644343406","0","2.662109375","2.662109375"
"1","-16.0592328757048","20.448796875","82.5494766235352","0.92569092521444","0","2.68717455863953","2.68717455863953"
"1","-16.0572472959757","21.28050390625","82.5745468139648","0.941427599173039","0","2.71223950386047","2.71223950386047"
"1","-16.0557478666306","22.137708984375","82.599609375","0.956909381784499","0","2.7373046875","2.7373046875"
"1","-16.0539485514164","22.987087890625","82.6246719360352","0.971727422438562","0","2.76236987113953","2.76236987113953"
"1","-16.0521287471056","23.81890625","82.6497421264648","0.986380618996918","0","2.78743481636047","2.78743481636047"
"1","-16.0504095256329","24.663107421875","82.6748046875","1.00172613747418","0","2.8125","2.8125"
"1","-16.0485617816448","25.4811796875","82.6998672485352","1.01578223984689","0","2.83756518363953","2.83756518363953"
"1","-16.0470809787512","26.31474609375","82.7249374389648","1.03049189783633","0","2.86263012886047","2.86263012886047"
"1","-16.0453543066978","27.150376953125","82.75","1.04459130670875","0","2.8876953125","2.8876953125"
"1","-16.0432737320662","27.978666015625","82.7750625610352","1.05940003413707","0","2.91276049613953","2.91276049613953"
"1","-16.0414259880781","28.817658203125","82.8001327514648","1.0729858186096","0","2.93782544136047","2.93782544136047"
"1","-16.0397533327341","29.658392578125","82.8251953125","1.0883326176554","0","2.962890625","2.962890625"
"1","-16.0381346940994","30.4921015625","82.8502578735352","1.10175716690719","0","2.98795580863953","2.98795580863953"
"1","-16.0362273454666","31.3369453125","82.8753280639648","1.11689511686563","0","3.01302075386047","3.01302075386047"
"1","-16.0342250019312","32.18298046875","82.900390625","1.13153795246035","0","3.0380859375","3.0380859375"
"1","-16.0334594547749","32.537177734375","82.9254531860352","1.1372776934877","0.5","3.06315112113953","3.06315112113953"
"1","-16.0349681973457","32.022044921875","82.9505233764648","1.13180908374488","0.5","3.08821606636047","3.08821606636047"
"1","-16.0363465547562","31.268953125","82.9755859375","1.12097500823438","0.5","3.11328125","3.11328125"
"1","-16.0378906875849","30.478482421875","83.0006484985352","1.10935093834996","0.5","3.13834643363953","3.13834643363953"
"1","-16.0396751016378","29.660640625","83.0257186889648","1.09903083648533","0.5","3.16341137886047","3.16341137886047"
"1","-16.0415545105934","28.8526640625","83.05078125","1.08702585566789","0.5","3.1884765625","3.1884765625"
"1","-16.0432476550341","28.02584765625","83.0758438110352","1.07514963019639","0.5","3.21354174613953","3.21354174613953"
"1","-16.0448141396046","27.201005859375","83.1009140014648","1.06268178205937","0.5","3.23860669136047","3.23860669136047"
