"File Path: S:\Durabler\Certificates\Testdataexport\PQR #3 5C 10-24-25 14 06 13 PM\Precrack Command - Data Acquisition 1 - (Timed).csv   "
"Test: ASTM E1290 CTOD 35"
"Test Run: PQR #3 5C"
"Date: 10/16/2025 1:26:39 PM"
""
""
"CycleCount","Axial COD ","Axial Force ","Running Time ","Axial Integer Count ","Rollover Running Time "
"CycleCount","mm","kN","sec","cycles","sec"
"1","-0.118001458758954","-64.069703125","9.53922557830811","4.5","9.53922557830811"
"1","-0.118101597763598","-64.06755859375","9.54134082794189","4.5","9.54134082794189"
"1","-0.118218900752254","-64.071046875","9.54345703125","4.5","9.54345703125"
"1","-0.118232492241077","-64.0655078125","9.54557323455811","4.5","9.54557323455811"
"1","-0.1182196137961","-64.079046875","9.54768848419189","4.5","9.54768848419189"
"1","-0.11833620374091","-64.06063671875","9.5498046875","4.5","9.5498046875"
"1","-0.118080140964594","-64.0638125","9.55192089080811","4.5","9.55192089080811"
"1","-0.118053678306751","-64.08085546875","9.55403614044189","4.5","9.55403614044189"
"1","-0.118061543616932","-64.113921875","9.55615234375","4.5","9.55615234375"
"1","-0.118123054562602","-64.15899609375","9.55826854705811","4.5","9.55826854705811"
"1","-0.118443487735931","-64.21790234375","9.56038379669189","4.5","9.56038379669189"
"1","-0.118644478789065","-64.28365234375","9.5625","4.5","9.5625"
"1","-0.118865493277553","-64.35654296875","9.56461620330811","4.5","9.56461620330811"
"1","-0.11900353274541","-64.42889453125","9.56673145294189","4.5","9.56673145294189"
"1","-0.119047879707068","-64.5127421875","9.56884765625","4.5","9.56884765625"
"1","-0.119223121146206","-64.58046875","9.57096385955811","4.5","9.57096385955811"
"1","-0.119217394967563","-64.62741015625","9.57307910919189","4.5","9.57307910919189"
"1","-0.119292497402057","-64.6784140625","9.5751953125","4.5","9.5751953125"
"1","-0.119222400826402","-64.710953125","9.57731151580811","4.5","9.57731151580811"
"1","-0.119366886792704","-64.7187578125","9.57796192169189","4.5","9.57796192169189"
"1","-0.119387623271905","-64.708609375","9.57942676544189","4.5","9.57942676544189"
"1","-0.119164469651878","-64.6946171875","9.58154296875","4.5","9.58154296875"
"1","-0.119357588118874","-64.6527265625","9.58365917205811","5","9.58365917205811"
"1","-0.119153737614397","-64.59583984375","9.58577442169189","5","9.58577442169189"
"1","-0.11910581815755","-64.48489453125","9.587890625","5","9.587890625"
"1","-0.118741038022563","-64.34879296875","9.59000682830811","5","9.59000682830811"
"1","-0.118293282866944","-64.1955703125","9.59212207794189","5","9.59212207794189"
"1","-0.11776542669395","-64.0025546875","9.59423828125","5","9.59423828125"
"1","-0.11735987936845","-63.83085546875","9.59635448455811","5","9.59635448455811"
"1","-0.116935727419332","-63.62457421875","9.59846973419189","5","9.59846973419189"
"1","-0.116855619126","-63.40307421875","9.6005859375","5","9.6005859375"
"1","-0.116640330816153","-63.2020859375","9.60270214080811","5","9.60270214080811"
"1","-0.11627340427367","-63.00011328125","9.60481739044189","5","9.60481739044189"
"1","-0.11567902402021","-62.82323828125","9.60693359375","5","9.60693359375"
"1","-0.11512685159687","-62.6639453125","9.60904979705811","5","9.60904979705811"
"1","-0.114876507723238","-62.53007421875","9.61116504669189","5","9.61116504669189"
"1","-0.114829301310237","-62.44194921875","9.61328125","5","9.61328125"
