"File Path: S:\Durabler\Certificates\Testdataexport\PQR #3 5B 10-24-25 14 05 52 PM\Crack Size Check Command - Data Acquisition 1 - (Timed).csv   "
"Test: ASTM E1290 CTOD 35"
"Test Run: PQR #3 5B"
"Date: 10/16/2025 1:26:25 PM"
""
""
"CycleCount","Axial COD ","Axial Force ","Running Time ","Axial Integer Count ","Rollover Running Time "
"CycleCount","mm","kN","sec","cycles","sec"
"1","0.000957727479544701","-2.84351586914063","0.0730794295668602","0","0.0730794295668602"
"1","-0.00609469407208962","-6.34362109375","0.123046875","0","0.123046875"
"1","-0.0122466090033413","-9.774396484375","0.17301432788372","0","0.17301432788372"
"1","-0.0191631315829","-13.2090947265625","0.22298176586628","0","0.22298176586628"
"1","-0.025421619284316","-16.62792578125","0.27294921875","0","0.27294921875"
"1","-0.0319676400977187","-20.053994140625","0.322916656732559","0","0.322916656732559"
"1","-0.0389027591154445","-23.4776953125","0.372884124517441","0","0.372884124517441"
"1","-0.0449881554231979","-26.8907109375","0.4228515625","0","0.4228515625"
"1","-0.0516014115419239","-30.302662109375","0.472819000482559","0","0.472819000482559"
"1","-0.0584406843699981","-33.72551171875","0.522786438465118","0","0.522786438465118"
"1","-0.0645396721665747","-37.14773046875","0.57275390625","0","0.57275390625"
"1","-0.0716979484423064","-40.566640625","0.622721374034882","0","0.622721374034882"
"1","-0.0779128095018677","-43.9920078125","0.672688782215118","0","0.672688782215118"
"1","-0.0846233378979377","-47.411640625","0.72265625","0","0.72265625"
"1","-0.0914697666303255","-50.849609375","0.772623717784882","0","0.772623717784882"
"1","-0.0977461313595995","-54.24337109375","0.822591125965118","0","0.822591125965118"
"1","-0.104535341961309","-57.68181640625","0.87255859375","0","0.87255859375"
"1","-0.111259461846203","-61.1088671875","0.922526061534882","0","0.922526061534882"
"1","-0.117707488243468","-64.5091875","0.972493469715118","0","0.972493469715118"
"1","-0.124878642964177","-67.9504140625","1.0224609375","0","1.0224609375"
"1","-0.121496203064453","-66.3475703125","1.07242834568024","0.5","1.07242834568024"
