"File Path: S:\Durabler\Certificates\Testdataexport\PQR #3 4B All Weld 10-24-25 14 04 51 PM\Precrack Command - Data Acquisition 1 - (Timed).csv   "
"Test: ASTM E1290 CTOD 35"
"Test Run: PQR #3 4B All Weld"
"Date: 10/15/2025 10:37:56 AM"
""
""
"CycleCount","Axial COD ","Axial Force ","Running Time ","Axial Integer Count ","Rollover Running Time "
"CycleCount","mm","kN","sec","cycles","sec"
"1","-0.114320042484906","-56.1706953125","7.4013671875","3.5","7.4013671875"
"1","-0.114563226816244","-56.17190234375","7.40348291397095","3.5","7.40348291397095"
"1","-0.114629030576907","-56.18067578125","7.40559911727905","3.5","7.40559911727905"
"1","-0.114685535663739","-56.1787109375","7.40771484375","3.5","7.40771484375"
"1","-0.115015267510898","-56.1865859375","7.40983057022095","3.5","7.40983057022095"
"1","-0.114852191472892","-56.1721171875","7.41194677352905","3.5","7.41194677352905"
"1","-0.11460471432656","-56.18889453125","7.4140625","3.5","7.4140625"
"1","-0.11464118870208","-56.19818359375","7.41617822647095","3.5","7.41617822647095"
"1","-0.114521739305928","-56.2055390625","7.41829442977905","3.5","7.41829442977905"
"1","-0.114568232675083","-56.2528828125","7.42041015625","3.5","7.42041015625"
"1","-0.114765643957071","-56.29734375","7.42252588272095","3.5","7.42252588272095"
"1","-0.115098235255573","-56.34055859375","7.42464208602905","3.5","7.42464208602905"
"1","-0.115113260108046","-56.40976953125","7.4267578125","3.5","7.4267578125"
"1","-0.115333554276731","-56.46728125","7.42887353897095","3.5","7.42887353897095"
"1","-0.115412236482371","-56.528671875","7.43098974227905","3.5","7.43098974227905"
"1","-0.115320683107711","-56.58063671875","7.43310546875","3.5","7.43310546875"
"1","-0.115599628770724","-56.6348203125","7.43522119522095","3.5","7.43522119522095"
"1","-0.11546301539056","-56.66987890625","7.43733739852905","3.5","7.43733739852905"
"1","-0.115626811748371","-56.70250390625","7.439453125","3.5","7.439453125"
"1","-0.115726230433211","-56.7196171875","7.44156885147095","3.5","7.44156885147095"
"1","-0.115827795525547","-56.72198046875","7.44222021102905","3.5","7.44222021102905"
"1","-0.115638969873544","-56.714203125","7.44368505477905","3.5","7.44368505477905"
"1","-0.115473034384195","-56.69521875","7.44580078125","4","7.44580078125"
"1","-0.115613220259547","-56.64218359375","7.44791650772095","4","7.44791650772095"
"1","-0.115501643449534","-56.5513828125","7.45003271102905","4","7.45003271102905"
"1","-0.115305665531196","-56.43462890625","7.4521484375","4","7.4521484375"
"1","-0.114851471153088","-56.30919921875","7.45426416397095","4","7.45426416397095"
"1","-0.114508155093063","-56.15502734375","7.45638036727905","4","7.45638036727905"
"1","-0.114123344246764","-55.994328125","7.45849609375","4","7.45849609375"
"1","-0.113599773612805","-55.8362109375","7.46061182022095","4","7.46061182022095"
"1","-0.113470312498976","-55.64121875","7.46272802352905","4","7.46272802352905"
"1","-0.113216403406113","-55.47045703125","7.46484375","4","7.46484375"
"1","-0.112853049358819","-55.3183203125","7.46695947647095","4","7.46695947647095"
"1","-0.112483263364993","-55.14819921875","7.46907567977905","4","7.46907567977905"
"1","-0.112162109871861","-55.0006796875","7.47119140625","4","7.47119140625"
