"File Path: S:\Durabler\Certificates\Testdataexport\PQR #3 4C All Weld 10-24-25 14 05 12 PM\Crack Size Check Command - Data Acquisition 1 - (Timed).csv   "
"Test: ASTM E1290 CTOD 35"
"Test Run: PQR #3 4C All Weld"
"Date: 10/15/2025 11:37:32 AM"
""
""
"CycleCount","Axial COD ","Axial Force ","Running Time ","Axial Integer Count ","Rollover Running Time "
"CycleCount","mm","kN","sec","cycles","sec"
"1","-0.0039439200918423","-2.42559448242188","0.0799153670668602","0","0.0799153670668602"
"1","-0.0106644629340735","-5.52799267578125","0.1298828125","0","0.1298828125"
"1","-0.0169851773534901","-8.5087744140625","0.17985026538372","0","0.17985026538372"
"1","-0.022961854483583","-11.50584765625","0.22981770336628","0","0.22981770336628"
"1","-0.0296545022138162","-14.482169921875","0.27978515625","0","0.27978515625"
"1","-0.0354938492819201","-17.472302734375","0.329752594232559","0","0.329752594232559"
"1","-0.0421679033024702","-20.456150390625","0.379720062017441","0","0.379720062017441"
"1","-0.0484457013953943","-23.441619140625","0.4296875","0","0.4296875"
"1","-0.0544502727279905","-26.406580078125","0.479654937982559","0","0.479654937982559"
"1","-0.0611736759310588","-29.39562890625","0.529622375965118","0","0.529622375965118"
"1","-0.0674035545671359","-32.3816640625","0.57958984375","0","0.57958984375"
"1","-0.0735404464649037","-35.36705859375","0.629557311534882","0","0.629557311534882"
"1","-0.0801744463387877","-38.34913671875","0.679524719715118","0","0.679524719715118"
"1","-0.0861246589920484","-41.315109375","0.7294921875","0","0.7294921875"
"1","-0.0928122972254641","-44.302109375","0.779459655284882","0","0.779459655284882"
"1","-0.0990142798400484","-47.2882734375","0.829427063465118","0","0.829427063465118"
"1","-0.105264189187437","-50.2868515625","0.87939453125","0","0.87939453125"
"1","-0.111511944851372","-53.2600859375","0.929361999034882","0","0.929361999034882"
"1","-0.117783310997766","-56.2426875","0.979329407215118","0","0.979329407215118"
"1","-0.124031779705547","-59.21354296875","1.029296875","0","1.029296875"
"1","-0.121640681754798","-57.95577734375","1.07926428318024","0.5","1.07926428318024"
