"File Path: S:\Durabler\Certificates\Testdataexport\S3 SEB 29x29 Snickers 09-1-25 15 19 03 PM\Data Acquisition 1 - (Timed).csv   "
"Test: ASTM E1290 CTOD 34"
"Test Run: S3 SEB 29x29 Snickers"
"Date: 8/25/2025 4:00:35 PM"
""
""
"Axial COD ","Axial Displacement ","Axial Force ","Running Time "
"mm","mm","kN","sec"
"0.0105564595287433","-20.532013848424","-0.250967956542969","1902.884765625"
"0.0109348293335643","-20.5323398113251","-0.244153045654297","1902.93469238281"
"0.0107789037429029","-20.5324236303568","-0.225292495727539","1902.98461914063"
"0.01067447647074","-20.5321963876486","-0.227233184814453","1903.03466796875"
"0.010937690603896","-20.5320958048105","-0.235368515014648","1903.08459472656"
"0.0106880661405739","-20.5316338688135","-0.22625471496582","1903.13452148438"
"0.0110270975710591","-20.5313209444284","-0.225127014160156","1903.1845703125"
"0.011040687240893","-20.531365647912","-0.217077987670898","1903.23449707031"
"0.0106966499515693","-20.5317810177803","-0.224777526855469","1903.28442382813"
"0.0110857490653871","-20.5319952219725","-0.204903518676758","1903.33447265625"
"0.0107502937680692","-20.5315407365561","-0.217592559814453","1903.38439941406"
"0.0109412667370634","-20.531352609396","-0.191845611572266","1903.43432617188"
"0.0111200806713896","-20.5309223383665","-0.19928059387207","1903.484375"
"0.0107932091850671","-20.5303877592087","-0.197065383911133","1903.53430175781"
"0.0110428336483892","-20.5308962613344","-0.202723220825195","1903.58422851563"
"0.0111043455035542","-20.5302275717258","-0.206081695556641","1903.63427734375"
"0.0110592845885549","-20.5317828804255","-0.197654098510742","1903.68420410156"
"0.0109248157968977","-20.5318015068769","-0.191029708862305","1903.73413085938"
"0.0108475687738974","-20.5306950956583","-0.195519500732422","1903.7841796875"
"0.0110192295323941","-20.5307304859161","-0.188105819702148","1903.83410644531"
"0.0109970569610596","-20.5307155847549","-0.196523880004883","1903.88403320313"
"0.0107524392660707","-20.5303747206926","-0.211839004516602","1903.93408203125"
"0.0112516881927149","-20.5315668135881","-0.215399978637695","1903.98400878906"
"0.0109219554360607","-20.5311346799135","-0.21481657409668","1904.03393554688"
"0.0109698776213918","-20.531328395009","-0.185252090454102","1904.083984375"
"0.0110249520730576","-20.5310899764299","-0.212772491455078","1904.13391113281"
"0.0108840467873961","-20.5310173332691","-0.207570297241211","1904.18383789063"
"0.011082172022725","-20.5306969583035","-0.195353790283203","1904.23388671875"
"0.0108654503492289","-20.5307379364967","-0.196619445800781","1904.28381347656"
"0.010974884389725","-20.5315314233303","-0.200629959106445","1904.33374023438"
"0.011139392881887","-20.5308571457863","-0.194154418945312","1904.3837890625"
"0.010959148312395","-20.5313581973314","-0.204442031860352","1904.43371582031"
"0.0109841821540613","-20.5307453870773","-0.195332244873047","1904.48364257813"
"0.0110599994513905","-20.5310117453337","-0.196577133178711","1904.53369140625"
"0.0107359883259051","-20.5309856683016","-0.204155303955078","1904.58361816406"
"0.0110857490653871","-20.5316282808781","-0.213935119628906","1904.63354492188"
"0.0108475687738974","-20.5309670418501","-0.214488037109375","1904.68359375"
"0.0109341144707287","-20.5313824117184","-0.206988388061523","1904.73352050781"
"0.0110313894765568","-20.5310471355915","-0.219035400390625","1904.78344726563"
"0.0107738969745697","-20.5316375941038","-0.216203079223633","1904.83349609375"
"0.011028528206225","-20.5299537628889","-0.217085327148438","1904.88342285156"
"0.0108568665382336","-20.5313116312027","-0.214383041381836","1904.93334960938"
"0.010856151675398","-20.5312538892031","-0.222344802856445","1904.9833984375"
"0.0111351009763894","-20.5319169908762","-0.213103454589844","1905.03332519531"
"0.0109691618490615","-20.5329526215792","-0.218079925537109","1905.08325195313"
"0.0109527109088958","-20.532114431262","-0.225930847167969","1905.13330078125"
"0.0110886094262241","-20.5315724015236","-0.223400863647461","1905.18322753906"
"0.01084399264073","-20.5311272293329","-0.234124572753906","1905.23315429688"
"0.0111773015305516","-20.5324981361628","-0.227093963623047","1905.283203125"
"0.0108118056232342","-20.5328334122896","-0.247228332519531","1905.33312988281"
"0.0108132362584001","-20.5314680933952","-0.249818466186523","1905.38305664063"
"0.010946989277727","-20.5331426113844","-0.255948776245117","1905.43310546875"
"0.0106608868009062","-20.5319970846176","-0.263523803710938","1905.48303222656"
"0.0106966499515693","-20.5333177000284","-0.256908874511719","1905.53295898438"
"0.0106866364149028","-20.531564950943","-0.264880615234375","1905.5830078125"
"0.0103955271697487","-20.5322150141001","-0.261963836669922","1905.63293457031"
"0.0110213759398903","-20.5338858067989","-0.272136840820313","1905.68286132813"
"0.0104076862044167","-20.5329358577728","-0.270958099365234","1905.73291015625"
"0.0107088089862373","-20.5330345779657","-0.279372009277344","1905.78283691406"
"0.0106530187622411","-20.5338038504124","-0.287331481933594","1905.83276367188"
"0.0105550288935774","-20.5345842987299","-0.302515716552734","1905.8828125"
"0.0105071067082463","-20.5355603247881","-0.281687103271484","1905.93273925781"
"0.0105113986137439","-20.5327849835157","-0.299218475341797","1905.98266601563"
"0.0102839467217564","-20.5328296869993","-0.299571166992187","1906.03271484375"
"0.0105307099147467","-20.5336343497038","-0.304197052001953","1906.08264160156"
"0.0103046895674197","-20.5348506569862","-0.323707153320313","1906.13256835938"
"0.0105299950519111","-20.5350704491138","-0.326612945556641","1906.1826171875"
"0.0101637842817581","-20.5350760370493","-0.321392486572266","1906.23254394531"
"0.0101509094747598","-20.5353777855635","-0.327345428466797","1906.28247070313"
"0.0101952555269236","-20.5348208546638","-0.329026947021484","1906.33251953125"
"0.0102746489574201","-20.5359160900116","-0.347594055175781","1906.38244628906"
