"File Path: S:\Durabler\Certificates\Testdataexport\T9394-01 2C 0 degree 08-21-25 15 26 51 PM\Crack Size Check Command - Data Acquisition 1 - (Timed).csv   "
"Test: ASTM E1290 CTOD 32"
"Test Run: T9394-01 2C 0 degree"
"Date: 5/23/2025 8:31:30 AM"
""
""
"CycleCount","Axial COD ","Axial Force ","Running Time ","Axial Integer Count ","Rollover Running Time "
"CycleCount","mm","kN","sec","cycles","sec"
"1","0.00132322315948841","-2.75885205078125","0.0711263045668602","0","0.0711263045668602"
"1","-0.00559616091777571","-6.2333857421875","0.12109375","0","0.12109375"
"1","-0.0119519236250198","-9.424482421875","0.17106120288372","0","0.17106120288372"
"1","-0.0186431407200871","-12.5984541015625","0.22102864086628","0","0.22102864086628"
"1","-0.0251104829658289","-15.775455078125","0.27099609375","0","0.27099609375"
"1","-0.031477688025916","-18.926880859375","0.320963531732559","0","0.320963531732559"
"1","-0.0376982679881621","-22.075978515625","0.370930999517441","0","0.370930999517441"
"1","-0.0443708886450622","-25.224921875","0.4208984375","0","0.4208984375"
"1","-0.0503218179801479","-28.364541015625","0.470865875482559","0","0.470865875482559"
"1","-0.0568685536563862","-31.515388671875","0.520833313465118","0","0.520833313465118"
"1","-0.063054081692826","-34.68119921875","0.57080078125","0","0.57080078125"
"1","-0.0695307244313881","-37.8191875","0.620768249034882","0","0.620768249034882"
"1","-0.0759308313718066","-40.97816015625","0.670735657215118","0","0.670735657215118"
"1","-0.0821306675788946","-44.12131640625","0.720703125","0","0.720703125"
"1","-0.0883927350514568","-47.276453125","0.770670592784882","0","0.770670592784882"
"1","-0.0946855579968542","-50.4218359375","0.820638000965118","0","0.820638000965118"
"1","-0.101142883067951","-53.5638046875","0.87060546875","0","0.87060546875"
"1","-0.107549429230858","-56.7249921875","0.920572936534882","0","0.920572936534882"
"1","-0.113783600681927","-59.86709765625","0.970540344715118","0","0.970540344715118"
"1","-0.120052813144866","-63.00921875","1.0205078125","0","1.0205078125"
"1","-0.117264033178799","-61.61046875","1.07047522068024","0.5","1.07047522068024"
"1","-0.110774519271217","-58.48586328125","1.12044274806976","0.5","1.12044274806976"
"1","-0.104221340734512","-55.3545703125","1.17041015625","0.5","1.17041015625"
"1","-0.0977625822997652","-52.21308984375","1.22037756443024","0.5","1.22037756443024"
"1","-0.0911593451746739","-49.07905859375","1.27034509181976","0.5","1.27034509181976"
"1","-0.084990264440421","-45.9543671875","1.3203125","0.5","1.3203125"
"1","-0.078200340794865","-42.8171875","1.37027990818024","0.5","1.37027990818024"
"1","-0.0721871838322841","-39.67709765625","1.42024743556976","0.5","1.42024743556976"
"1","-0.0657362907077186","-36.54660546875","1.47021484375","0.5","1.47021484375"
"1","-0.0594270240981132","-33.4056796875","1.52018225193024","0.5","1.52018225193024"
